20191114,685
20191115,2861
20191116,1150
20191117,1349
20191118,567
20191119,882
20191120,2667
20191121,1816
20191122,1244
20191123,1880
20191124,2081
20191125,1106
20191126,336
20191127,295
20191128,913
20191129,479
20191130,1450
20191201,819
20191202,1123
20191203,1031
20191204,2561
20191205,719
20191206,1438
20191207,1626
20191208,763
20191209,759
20191210,883
20191211,1059
20191212,1184
20191213,1441
20191214,986
20191215,1348
20191216,1789
20191217,1250
20191218,1154
20191219,671
20191220,736
20191221,993
20191222,599
20191223,86
20191224,1131
20191225,734
20191226,1285
20191227,945
20191228,1144
20191229,261
20191230,938
20191231,623
20200101,608
20200102,647
20200103,638
20200104,464
20200105,988
20200106,416
20200107,481
20200108,841
20200109,63
20200110,421
20200111,1329
20200112,1566
20200113,2049
20200114,883
20200115,97
20200116,147
20200117,98
20200118,9
20200119,71
20200120,81
20200121,128
20200122,531
20200123,70
20200124,1164
20200125,145
20200126,57
20200127,730
20200128,861
20200129,917
20200129,90
20200130,798
20200131,1768
20200201,1064
20200202,1750
20200203,2803
20200204,3720
20200205,1710
20200206,1161
20200207,845
20200208,1367
20200209,1427
20200210,2540
20200211,1121
20200212,671
20200213,991
20200214,1270
20200215,691
20200216,2263
20200217,2476
20200218,2730
20200219,1858
